city,country,_food_raw,_nature_raw,food_score,nature_score,food_ratio,nature_ratio,coast_km,method,source_x,computed_at,beach,beach_score,safety_index,scale,year_x,source_y,notes,safety_score,year_y,cost_index,source,cost_score,overall_score,temp_01,temp_02,temp_03,temp_04,temp_05,temp_06,temp_07,temp_08,temp_09,temp_10,temp_11,temp_12,tavg_01,tavg_02,tavg_03,tavg_04,tavg_05,tavg_06,tavg_07,tavg_08,tavg_09,tavg_10,tavg_11,tavg_12,cluster,lat,lon
Tokyo,Japan,215.8054223866556,138.85746540499042,92.446043,15.107914,0.60848,0.39152,90.815,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,54.59,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,51.82,6.1,6.7,9.8,14.8,19.3,22.4,26.3,27.6,24.1,18.8,13.5,8.6,6.1,6.7,9.8,14.8,19.3,22.4,26.3,27.6,24.1,18.8,13.5,8.6,5,35.682839,139.759455
Kyoto,Japan,57.12557950697455,173.88495802541672,58.633094,71.46283,0.247286,0.752714,70.704,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,64.65,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,60.19,4.8,5.5,8.9,14.4,19.6,23.3,27.3,28.6,24.4,18.4,12.4,7.2,4.8,5.5,8.9,14.4,19.6,23.3,27.3,28.6,24.4,18.4,12.4,7.2,3,35.0115754,135.7681441
Osaka,Japan,151.18710678639707,97.15554958709636,92.086331,14.868106,0.608784,0.391216,48.77,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,75.61,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,55.05,6.2,6.6,9.9,15.2,20.1,23.6,27.7,29.0,25.2,19.5,13.8,8.7,6.2,6.6,9.9,15.2,20.1,23.6,27.7,29.0,25.2,19.5,13.8,8.7,5,34.6937569,135.5014539
Nara,Japan,17.110523536532668,187.23188753044417,29.976019,95.683453,0.083735,0.916265,81.634,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,59.18,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,59.4,4.6,4.9,8.5,14.1,18.9,22.5,26.6,27.6,23.5,17.6,12.1,7.0,4.6,4.9,8.5,14.1,18.9,22.5,26.6,27.6,23.5,17.6,12.1,7.0,8,34.6851,135.8049
Kobe,Japan,29.176091000781792,43.67060904394384,63.309353,45.323741,0.400514,0.599486,17.199,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,1,91.4,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,59.13,5.9,6.4,9.7,15.0,19.7,23.3,27.2,28.5,25.0,19.5,13.7,8.4,5.9,6.4,9.7,15.0,19.7,23.3,27.2,28.5,25.0,19.5,13.7,8.4,3,34.6913,135.183
Yokohama,Japan,46.20332694528136,83.87707095554435,64.868106,52.997602,0.355191,0.644809,67.395,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,66.3,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,57.27,6.2,6.8,9.8,14.6,19.0,22.0,25.8,27.1,23.8,18.7,13.5,8.7,6.2,6.8,9.8,14.6,19.0,22.0,25.8,27.1,23.8,18.7,13.5,8.7,3,35.4503381,139.6343802
Kamakura,Japan,18.672895677116134,97.65104266544095,36.930456,84.41247,0.160525,0.839475,55.01,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,72.5,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,60.21,6.6,7.1,9.9,14.6,19.0,22.0,25.7,27.2,23.9,18.9,13.9,9.1,6.6,7.1,9.9,14.6,19.0,22.0,25.7,27.2,23.9,18.9,13.9,9.1,8,35.3192,139.5466
Hakone,Japan,3.3527014564202826,25.84935216781493,9.592326,92.565947,0.11481,0.88519,64.287,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,67.86,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,55.96,6.7,7.2,9.9,14.6,18.7,21.8,25.4,26.7,23.5,18.8,13.9,9.2,6.7,7.2,9.9,14.6,18.7,21.8,25.4,26.7,23.5,18.8,13.9,9.2,8,35.2324,139.1069
Nagoya,Japan,52.37467200307207,56.595380841728144,77.098321,32.134293,0.480634,0.519366,85.833,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,57.08,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,53.23,4.8,5.5,9.1,14.6,19.4,23.0,26.9,28.2,24.5,18.6,12.6,7.2,4.8,5.5,9.1,14.6,19.4,23.0,26.9,28.2,24.5,18.6,12.6,7.2,5,35.1851045,136.8998438
Sapporo,Japan,25.965349447992597,38.68405928270198,61.630695,45.083933,0.401633,0.598367,49.455,nearest_coastline_geodesic_approx,ne_110m_coastline.shp,2025-10-09 10:29:44 UTC,0,75.27,98.0,0-100,2023.0,World Bank (UNODC) VC.IHR.PSRC.P5 - winsorized minmax (p5-95),"safety=100*(1-minmax(winsor(rate,5-95))) clip[5,98]",98.0,2022.0,93.15195549426316,"World Bank PA.NUS.PPP (2022, winsor p5-95 → reverse minmax)",6.848044505736837,56.16,-3.2,-2.7,1.1,7.3,13.0,17.0,21.1,22.3,18.6,12.1,5.2,-0.9,-3.2,-2.7,1.1,7.3,13.0,17.0,21.1,22.3,18.6,12.1,5.2,-0.9,3,43.061936,141.3542924
